iter	Passed	Remaining
917	10411	12272
918	10423	12260
919	10434	12249
920	10446	12238
921	10457	12226
922	10469	12215
923	10480	12204
924	10492	12193
925	10503	12182
926	10515	12171
927	10526	12160
928	10538	12148
929	10549	12137
930	10561	12126
931	10572	12115
932	10583	12103
933	10594	12092
934	10606	12081
935	10617	12069
936	10628	12058
937	10640	12046
938	10651	12035
939	10663	12024
940	10674	12013
941	10686	12002
942	10697	11990
943	10709	11979
944	10720	11968
945	10731	11957
946	10743	11946
947	10753	11933
948	10764	11921
949	10776	11910
950	10787	11899
951	10798	11887
952	10808	11875
953	10819	11862
954	10830	11851
955	10840	11838
956	10851	11826
957	10861	11813
958	10871	11801
959	10882	11789
960	10892	11776
961	10903	11765
962	10914	11753
963	10925	11741
964	10936	11729
965	10946	11717
966	10957	11705
967	10968	11693
968	10979	11681
969	10989	11669
970	11000	11657
971	11010	11644
972	11021	11632
973	11031	11620
974	11042	11608
975	11052	11596
976	11063	11584
977	11074	11572
978	11084	11560
979	11095	11548
980	11106	11536
981	11118	11525
982	11129	11514
983	11140	11502
984	11151	11491
985	11162	11479
986	11173	11467
987	11184	11456
988	11196	11445
989	11206	11433
990	11218	11422
991	11229	11410
992	11240	11398
993	11251	11387
994	11262	11375
995	11273	11364
996	11284	11352
997	11295	11340
998	11305	11328
999	11316	11316
1000	11327	11304
1001	11338	11293
1002	11350	11282
1003	11362	11272
1004	11374	11261
1005	11385	11250
1006	11397	11238
1007	11408	11227
1008	11419	11215
1009	11430	11203
1010	11441	11192
1011	11452	11180
1012	11463	11169
1013	11475	11159
1014	11487	11147
1015	11499	11136
1016	11510	11125
1017	11521	11114
1018	11532	11102
1019	11544	11091
1020	11555	11080
1021	11567	11069
1022	11579	11058
1023	11591	11047
1024	11603	11037
1025	11615	11026
1026	11626	11015
1027	11638	11004
1028	11650	10993
1029	11661	10982
1030	11672	10970
1031	11684	10959
1032	11696	10948
1033	11707	10937
1034	11719	10926
1035	11730	10915
1036	11742	10904
1037	11754	10893
1038	11766	10883
1039	11777	10871
1040	11787	10859
1041	11799	10847
1042	11810	10836
1043	11821	10825
1044	11832	10813
1045	11843	10801
1046	11854	10790
1047	11865	10779
1048	11876	10767
1049	11887	10755
1050	11899	10744
